faction,name,image,description,,
Khorne,Bloodletter,bloodletter.jpg,Design from Pinterest,,
Khorne,Bloodmaster,bloodmaster.jpg,Design from Pinterest,,
Khorne,Flesh Hound,flesh_hound.jpg,Design from Pinterest,,
Tzeentch,Changeling,changeling.jpg,Design from Pinterest,,
Tzeentch,Horrors (Pink/Blue/Brimstone),horrors.jpg,Design from Pinterest,,
Tzeentch,Flamer,flamer.jpg,Design from Pinterest,,
Nurgle,Nurglings,nurglings.jpg,My own designs,,
Nurgle,Sloppity Bilepiper,sloppity_bilepiper.jpg,Adapted from Bloodletter’s design,,
Nurgle,Plaguebearer,plaguebearer.jpg,Adapted from Bloodletter’s design,,
